ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Cloverdale/Cochran,84.5984251968504,6817.0,1.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Compton,871.496062992126,94384.0,1.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Covina,272.80916030534354,50954.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Crestview,82.07633587786259,5284.0,2.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
Culver City,136.23134328358208,38816.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Del Rey,92.89922480620154,28010.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
Diamond Bar,105.78358208955224,56784.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Downey,979.8809523809524,107323.0,2.0,79.25857142857141,34.87325396825398,82.70634920634922,-40.96031746031746,-14.206349206349206,-20.634920634920636,-44.07936507936508,-40.34920634920635,16.99206349206349
Downtown,184.16153846153847,27849.0,1.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
Duarte,132.70866141732284,21486.0,2.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Eagle Rock,188.54887218045113,32493.0,2.0,77.75774436090224,34.71548872180452,80.99045112781957,-40.94736842105263,-14.037593984962406,-21.06015037593985,-44.12781954887218,-40.30827067669173,17.112781954887218
East Hollywood,217.109375,73967.0,1.0,78.74078124999998,34.797031249999996,82.14203125000002,-40.984375,-14.2890625,-20.828125,-44.1640625,-40.46875,17.078125
East Los Angeles,1404.0992366412213,125897.0,1.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
