ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Brentwood,123.35087719298245,31344.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
Burbank,573.9171597633136,100316.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Calabasas,110.6508875739645,23130.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Canoga Park,748.9578313253012,53227.0,2.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
Canyon Country,51.0609756097561,25899.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Carson,686.9011627906976,89549.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Castaic,1049.6745562130177,16843.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Central,868.7515527950311,27849.0,1.0,87.00403726708076,37.88472049689444,91.59608695652173,-38.41614906832298,-13.527950310559007,-16.52173913043478,-43.22360248447205,-39.62111801242236,15.875776397515528
Century City,54.92307692307692,5513.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Cerritos,220.05389221556885,51831.0,2.0,85.48497005988024,37.5210778443114,89.96838323353293,-38.65868263473054,-13.748502994011975,-17.119760479041915,-43.467065868263475,-39.796407185628745,16.059880239520957
Chatsworth,283.0,35073.0,2.0,86.75327160493828,37.818086419753115,91.31537037037036,-38.44444444444444,-13.567901234567902,-16.635802469135804,-43.27160493827161,-39.68518518518518,15.925925925925926
Claremont,130.12422360248448,35397.0,2.0,87.00403726708076,37.88472049689444,91.59608695652173,-38.41614906832298,-13.527950310559007,-16.52173913043478,-43.22360248447205,-39.62111801242236,15.875776397515528
Cloverdale/Cochran,123.56363636363636,6817.0,1.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
